year	borough	data	GBP
2014	Kingston-upon-Thames	averageHousePrice	475081
2014	Kingston-upon-Thames	averageSalary	43600
2015	Kingston-upon-Thames	averageHousePrice	502091
2015	Kingston-upon-Thames	averageSalary	45800
2016	Kingston-upon-Thames	averageHousePrice	547214
2016	Kingston-upon-Thames	averageSalary	44500
2017	Kingston-upon-Thames	averageHousePrice	573938
2017	Kingston-upon-Thames	averageSalary	48700
2018	Kingston-upon-Thames	averageHousePrice	600000
2018	Kingston-upon-Thames	averageSalary	50300
2019	Kingston-upon-Thames	averageHousePrice	620000
2019	Kingston-upon-Thames	averageSalary	50500
2020	Kingston-upon-Thames	averageHousePrice	670000
2020	Kingston-upon-Thames	averageSalary	54000
2021	Kingston-upon-Thames	averageHousePrice	690000
2021	Kingston-upon-Thames	averageSalary	56500
