year	borough	data	GBP
2014	Tower Hamlets	averageHousePrice	445319
2014	Tower Hamlets	averageSalary	41800
2015	Tower Hamlets	averageHousePrice	483423
2015	Tower Hamlets	averageSalary	45000
2016	Tower Hamlets	averageHousePrice	524508
2016	Tower Hamlets	averageSalary	46600
2017	Tower Hamlets	averageHousePrice	554009
2017	Tower Hamlets	averageSalary	46600
2018	Tower Hamlets	averageHousePrice	559000
2018	Tower Hamlets	averageSalary	49300
2019	Tower Hamlets	averageHousePrice	590000
2019	Tower Hamlets	averageSalary	50100
2020	Tower Hamlets	averageHousePrice	610000
2020	Tower Hamlets	averageSalary	52700
2021	Tower Hamlets	averageHousePrice	620000
2021	Tower Hamlets	averageSalary	55500
