year	borough	data	GBP
1995	Brent	averageHousePrice	77258
1995	Brent	averageSalary	39000
1996	Brent	averageHousePrice	82824
1996	Brent	averageSalary	41000
1997	Brent	averageHousePrice	96499
1997	Brent	averageSalary	42000
1998	Brent	averageHousePrice	111868
1998	Brent	averageSalary	42000
1999	Brent	averageHousePrice	125958
1999	Brent	averageSalary	20000
2000	Brent	averageHousePrice	154194
2000	Brent	averageSalary	22200
2001	Brent	averageHousePrice	175865
2001	Brent	averageSalary	21100
2002	Brent	averageHousePrice	210014
2002	Brent	averageSalary	21700
2003	Brent	averageHousePrice	230062
2003	Brent	averageSalary	22500
2004	Brent	averageHousePrice	249534
2004	Brent	averageSalary	21800
2005	Brent	averageHousePrice	266301
2005	Brent	averageSalary	23200
2006	Brent	averageHousePrice	284109
2006	Brent	averageSalary	24600
2007	Brent	averageHousePrice	321197
2007	Brent	averageSalary	24700
2008	Brent	averageHousePrice	328763
2008	Brent	averageSalary	25000
2009	Brent	averageHousePrice	322691
2009	Brent	averageSalary	26100
2010	Brent	averageHousePrice	345055
2010	Brent	averageSalary	26700
2011	Brent	averageHousePrice	360423
2011	Brent	averageSalary	27400
2012	Brent	averageHousePrice	395126
2012	Brent	averageSalary	28300
2013	Brent	averageHousePrice	429877
2013	Brent	averageSalary	29700
2014	Brent	averageHousePrice	468859
2014	Brent	averageSalary	31200
2015	Brent	averageHousePrice	506322
2015	Brent	averageSalary	32600
2016	Brent	averageHousePrice	517497
2016	Brent	averageSalary	34100
2017	Brent	averageHousePrice	578705
2017	Brent	averageSalary	35400
2018	Brent	averageHousePrice	600000
2018	Brent	averageSalary	36300
2019	Brent	averageHousePrice	620000
2019	Brent	averageSalary	37800
2020	Brent	averageHousePrice	630000
2020	Brent	averageSalary	40400
2021	Brent	averageHousePrice	700000
2021	Brent	averageSalary	44100
1995	Bromley	averageHousePrice	93441
1995	Bromley	averageSalary	46000
1996	Bromley	averageHousePrice	97597
1996	Bromley	averageSalary	47000
1997	Bromley	averageHousePrice	105027
1997	Bromley	averageSalary	48000
1998	Bromley	averageHousePrice	118048
1998	Bromley	averageSalary	49000
1999	Bromley	averageHousePrice	138486
1999	Bromley	averageSalary	25100
2000	Bromley	averageHousePrice	164025
2000	Bromley	averageSalary	26400
2001	Bromley	averageHousePrice	182176
2001	Bromley	averageSalary	27400
2002	Bromley	averageHousePrice	209252
2002	Bromley	averageSalary	27700
2003	Bromley	averageHousePrice	238066
2003	Bromley	averageSalary	29200
2004	Bromley	averageHousePrice	259452
2004	Bromley	averageSalary	29200
2005	Bromley	averageHousePrice	267788
2005	Bromley	averageSalary	31400
2006	Bromley	averageHousePrice	282058
2006	Bromley	averageSalary	32800
2007	Bromley	averageHousePrice	316391
2007	Bromley	averageSalary	34400
2008	Bromley	averageHousePrice	304375
2008	Bromley	averageSalary	35000
2009	Bromley	averageHousePrice	301946
2009	Bromley	averageSalary	36500
2010	Bromley	averageHousePrice	327306
2010	Bromley	averageSalary	35900
2011	Bromley	averageHousePrice	336236
2011	Bromley	averageSalary	36400
2012	Bromley	averageHousePrice	333020
2012	Bromley	averageSalary	37200
2013	Bromley	averageHousePrice	354045
2013	Bromley	averageSalary	39000
2014	Bromley	averageHousePrice	397487
2014	Bromley	averageSalary	40400
2015	Bromley	averageHousePrice	441675
2015	Bromley	averageSalary	43500
2016	Bromley	averageHousePrice	478142
2016	Bromley	averageSalary	44000
2017	Bromley	averageHousePrice	502623
2017	Bromley	averageSalary	45500
2018	Bromley	averageHousePrice	510000
2018	Bromley	averageSalary	46600
2019	Bromley	averageHousePrice	530000
2019	Bromley	averageSalary	48200
2020	Bromley	averageHousePrice	590000
2020	Bromley	averageSalary	49300
2021	Bromley	averageHousePrice	620000
2021	Bromley	averageSalary	54500
1995	Camden	averageHousePrice	151364
1995	Camden	averageSalary	58000
1996	Camden	averageHousePrice	168988
1996	Camden	averageSalary	60000
1997	Camden	averageHousePrice	193421
1997	Camden	averageSalary	62000
1998	Camden	averageHousePrice	220291
1998	Camden	averageSalary	63000
1999	Camden	averageHousePrice	248232
1999	Camden	averageSalary	39000
2000	Camden	averageHousePrice	311696
2000	Camden	averageSalary	40000
2001	Camden	averageHousePrice	339288
2001	Camden	averageSalary	42800
2002	Camden	averageHousePrice	377033
2002	Camden	averageSalary	43000
2003	Camden	averageHousePrice	377836
2003	Camden	averageSalary	45700
2004	Camden	averageHousePrice	411840
2004	Camden	averageSalary	50200
2005	Camden	averageHousePrice	440809
2005	Camden	averageSalary	56200
2006	Camden	averageHousePrice	492802
2006	Camden	averageSalary	60200
2007	Camden	averageHousePrice	562205
2007	Camden	averageSalary	69800
2008	Camden	averageHousePrice	656935
2008	Camden	averageSalary	69000
2009	Camden	averageHousePrice	600683
2009	Camden	averageSalary	68900
2010	Camden	averageHousePrice	716429
2010	Camden	averageSalary	67100
2011	Camden	averageHousePrice	724250
2011	Camden	averageSalary	69300
2012	Camden	averageHousePrice	780751
2012	Camden	averageSalary	71200
2013	Camden	averageHousePrice	836170
2013	Camden	averageSalary	78900
2014	Camden	averageHousePrice	966927
2014	Camden	averageSalary	79200
2015	Camden	averageHousePrice	1040035
2015	Camden	averageSalary	85000
2016	Camden	averageHousePrice	1063248
2016	Camden	averageSalary	88000
2017	Camden	averageHousePrice	1099876
2017	Camden	averageSalary	92600
2018	Camden	averageHousePrice	1100000
2018	Camden	averageSalary	87400
2019	Camden	averageHousePrice	1500000
2019	Camden	averageSalary	96900
2020	Camden	averageHousePrice	1800000
2020	Camden	averageSalary	107000
2021	Camden	averageHousePrice	1900000
2021	Camden	averageSalary	119000
1995	City of London	averageHousePrice	146043
1995	City of London	averageSalary	98400
1996	City of London	averageHousePrice	136344
1996	City of London	averageSalary	100000
1997	City of London	averageHousePrice	156418
1997	City of London	averageSalary	104000
1998	City of London	averageHousePrice	227377
1998	City of London	averageSalary	105000
1999	City of London	averageHousePrice	232854
1999	City of London	averageSalary	109800
2000	City of London	averageHousePrice	255964
2000	City of London	averageSalary	137000
2001	City of London	averageHousePrice	266277
2001	City of London	averageSalary	92900
2002	City of London	averageHousePrice	270879
2002	City of London	averageSalary	78700
2003	City of London	averageHousePrice	322733
2003	City of London	averageSalary	85800
2004	City of London	averageHousePrice	292696
2004	City of London	averageSalary	95600
2005	City of London	averageHousePrice	329697
2005	City of London	averageSalary	90600
2006	City of London	averageHousePrice	374654
2006	City of London	averageSalary	99200
2007	City of London	averageHousePrice	490706
2007	City of London	averageSalary	102000
2008	City of London	averageHousePrice	412940
2008	City of London	averageSalary	120522
2009	City of London	averageHousePrice	449611
2009	City of London	averageSalary	137000
2010	City of London	averageHousePrice	524581
2010	City of London	averageSalary	127000
2011	City of London	averageHousePrice	541192
2011	City of London	averageSalary	117000
2012	City of London	averageHousePrice	537160
2012	City of London	averageSalary	131000
2013	City of London	averageHousePrice	775504
2013	City of London	averageSalary	151000
2014	City of London	averageHousePrice	894046
2014	City of London	averageSalary	144000
2015	City of London	averageHousePrice	926292
2015	City of London	averageSalary	142000
2016	City of London	averageHousePrice	928037
2016	City of London	averageSalary	157000
2017	City of London	averageHousePrice	950760
2017	City of London	averageSalary	148000
2018	City of London	averageHousePrice	965842
2018	City of London	averageSalary	142000
2019	City of London	averageHousePrice	981354
2019	City of London	averageSalary	128000
2020	City of London	averageHousePrice	1254654
2020	City of London	averageSalary	142000
2021	City of London	averageHousePrice	1345060
2021	City of London	averageSalary	167000
1995	Croydon	averageHousePrice	71800
1995	Croydon	averageSalary	17000
1996	Croydon	averageHousePrice	75678
1996	Croydon	averageSalary	18000
1997	Croydon	averageHousePrice	83343
1997	Croydon	averageSalary	19000
1998	Croydon	averageHousePrice	94296
1998	Croydon	averageSalary	20000
1999	Croydon	averageHousePrice	107094
1999	Croydon	averageSalary	21500
2000	Croydon	averageHousePrice	128084
2000	Croydon	averageSalary	22100
2001	Croydon	averageHousePrice	144254
2001	Croydon	averageSalary	23500
2002	Croydon	averageHousePrice	172274
2002	Croydon	averageSalary	23400
2003	Croydon	averageHousePrice	196228
2003	Croydon	averageSalary	23300
2004	Croydon	averageHousePrice	209354
2004	Croydon	averageSalary	24300
2005	Croydon	averageHousePrice	218049
2005	Croydon	averageSalary	25800
2006	Croydon	averageHousePrice	230773
2006	Croydon	averageSalary	27200
2007	Croydon	averageHousePrice	247869
2007	Croydon	averageSalary	28100
2008	Croydon	averageHousePrice	253571
2008	Croydon	averageSalary	29000
2009	Croydon	averageHousePrice	233442
2009	Croydon	averageSalary	29700
2010	Croydon	averageHousePrice	254458
2010	Croydon	averageSalary	29000
2011	Croydon	averageHousePrice	256219
2011	Croydon	averageSalary	29700
2012	Croydon	averageHousePrice	262587
2012	Croydon	averageSalary	30700
2013	Croydon	averageHousePrice	271891
2013	Croydon	averageSalary	31800
2014	Croydon	averageHousePrice	300572
2014	Croydon	averageSalary	32600
2015	Croydon	averageHousePrice	340768
2015	Croydon	averageSalary	34200
2016	Croydon	averageHousePrice	372054
2016	Croydon	averageSalary	33800
2017	Croydon	averageHousePrice	399645
2017	Croydon	averageSalary	35600
2018	Croydon	averageHousePrice	400000
2018	Croydon	averageSalary	36500
2019	Croydon	averageHousePrice	410000
2019	Croydon	averageSalary	37800
2020	Croydon	averageHousePrice	420000
2020	Croydon	averageSalary	38300
2021	Croydon	averageHousePrice	430000
2021	Croydon	averageSalary	40900
