year	borough	data	GBP
2007	Harrow	averageSalary	32400
2008	Harrow	averageHousePrice	314681
2008	Harrow	averageSalary	33000
2009	Harrow	averageHousePrice	290911
2009	Harrow	averageSalary	33300
2010	Harrow	averageHousePrice	331517
2010	Harrow	averageSalary	31100
2011	Harrow	averageHousePrice	343717
2011	Harrow	averageSalary	32400
2012	Harrow	averageHousePrice	343714
2012	Harrow	averageSalary	33300
2013	Harrow	averageHousePrice	369829
2013	Harrow	averageSalary	36000
2014	Harrow	averageHousePrice	427077
2014	Harrow	averageSalary	37000
2015	Harrow	averageHousePrice	461919
2015	Harrow	averageSalary	38500
2016	Harrow	averageHousePrice	504811
2016	Harrow	averageSalary	38400
2017	Harrow	averageHousePrice	527206
2017	Harrow	averageSalary	39000
2018	Harrow	averageHousePrice	550000
2018	Harrow	averageSalary	39300
2019	Harrow	averageHousePrice	580000
2019	Harrow	averageSalary	41500
2020	Harrow	averageHousePrice	600000
2020	Harrow	averageSalary	42800
2021	Harrow	averageHousePrice	610000
2021	Harrow	averageSalary	46500
